postcode,eastings,northings,latitude,longitude
HD5,416800,416800,53.6472,-1.74583
HD6,414400,422800,53.70121,-1.78186
HD7,408200,414200,53.62404,-1.87601
HD8,421200,411700,53.6012,-1.6796
HD9,413600,409300,53.57988,-1.79457
HG1,430600,456100,53.99983,-1.53313
HG2,431100,454700,53.98722,-1.52565
HG3,425100,459500,54.03069,-1.61676
HG4,428300,473500,54.15636,-1.5666
HG5,435600,457600,54.013,-1.45668
HP1,504400,207400,51.75509,-0.48731
HP10,489900,190900,51.60928,-0.70159
HP11,486900,192500,51.62413,-0.74451
HP12,484600,192600,51.62538,-0.77771
HP13,487100,193500,51.63309,-0.74137
HP14,481000,195100,51.64839,-0.82913
HP15,489100,196100,51.65615,-0.71182
HP16,488600,201200,51.70208,-0.71775
HP17,478000,209200,51.77558,-0.86933
HP18,470200,213300,51.81347,-0.98155
HP19,481000,214400,51.8219,-0.82464
HP2,506800,208300,51.76273,-0.45227
HP20,482500,214100,51.81898,-0.80295
HP21,482400,212700,51.80641,-0.80473
HP22,485100,212700,51.80601,-0.76558
HP23,492400,211600,51.79496,-0.66001
HP27,480800,203000,51.71944,-0.83019
HP3,505600,205400,51.73689,-0.47054
HP4,498900,208600,51.76688,-0.56663
HP5,496200,202500,51.71251,-0.60744
HP6,496900,198700,51.67823,-0.59836
HP7,496200,197200,51.66487,-0.6089
HP8,498700,194800,51.64286,-0.57344
HP9,494300,191100,51.61035,-0.63801
HR1,354100,240900,52.06415,-2.66963
HR2,346200,234900,52.0095,-2.78393
HR3,326400,244500,52.09353,-3.07446
HR4,347500,243600,52.08784,-2.76632
HR5,329800,255400,52.19196,-3.02708
HR6,347400,259700,52.23258,-2.77028
HR7,364400,254400,52.18629,-2.52079
HR8,369600,238600,52.04454,-2.44331
HR9,360000,223500,51.90816,-2.58153
HU1,509800,428700,53.74288,-0.33494
HU10,502800,429500,53.75149,-0.44078
HU11,517200,438100,53.82572,-0.21921
HU12,523300,426900,53.72369,-0.13105
HU13,503200,426500,53.72446,-0.43572
HU14,498900,426800,53.72799,-0.50078
HU15,490900,428900,53.74831,-0.62139
HU16,504100,432900,53.78179,-0.41993
HU17,503500,440100,53.8466,-0.42661
HU18,520400,447500,53.90944,-0.16692
HU19,534300,427100,53.72277,0.03566
HU2,509600,429500,53.75011,-0.33769
HU20,498000,433500,53.78836,-0.51229
HU3,507900,428500,53.74148,-0.36381
HU4,505500,427800,53.73568,-0.40043
HU5,507100,430500,53.75961,-0.37524
HU6,507500,432900,53.7811,-0.36834
HU7,510300,433800,53.7886,-0.32554
HU8,512100,431600,53.76845,-0.29903
HU9,513000,430200,53.75567,-0.28589
HX1,408600,425000,53.72111,-1.86966
HX2,406300,426800,53.73733,-1.90448
HX3,410300,425600,53.72648,-1.84387
HX4,407900,420400,53.67978,-1.88039
HX5,410900,421100,53.68601,-1.83494
HX6,405000,422400,53.69779,-1.92426
HX7,399500,427000,53.73916,-2.00758
IG1,543800,186500,51.55855,0.07463
IG10,542900,196400,51.64775,0.06569
IG11,545200,184000,51.53573,0.09378
IG2,544200,188200,51.57373,0.08109
IG3,545600,186900,51.56168,0.10074
IG4,542400,188500,51.57688,0.05525
IG5,543100,189700,51.58749,0.06584
IG6,544700,190300,51.59247,0.08917
IG7,544600,192600,51.61316,0.08867
IG8,540800,191800,51.60694,0.0335
IG9,541200,193700,51.62391,0.04004
IP1,615300,245600,52.06644,1.14151
IP10,624300,240700,52.01888,1.26939
IP11,629000,235500,51.97028,1.3343
IP12,631000,249200,52.09243,1.37262
IP13,627000,259300,52.18475,1.32107
IP14,607300,260800,52.20597,1.03423
IP15,646000,257100,52.15686,1.59688
IP16,645000,262300,52.20397,1.58604
IP17,639200,264900,52.22985,1.50316
IP18,650200,276600,52.32995,1.67259
IP19,638100,277100,52.33982,1.4957
IP2,615000,243200,52.04501,1.13563
IP20,625900,283900,52.40601,1.3215
IP21,620300,279000,52.36431,1.23608
IP22,607800,279700,52.37548,1.05319
IP23,613000,272200,52.30615,1.12472
IP24,587600,283700,52.41869,0.75903
IP25,592300,302500,52.58588,0.83892
IP26,574900,293100,52.50733,0.57739
IP27,575800,284500,52.4298,0.5861
IP28,573700,272900,52.32627,0.54924
IP29,582000,258300,52.19245,0.66303
IP3,618600,243000,52.0418,1.18792
IP30,593800,260600,52.20909,0.83679
IP31,592900,269600,52.29023,0.82877
IP32,585500,265200,52.25326,0.71797
